doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database,query_name,query_value
10.1109/MELECON53508.2022.9842871,A Citizen Science Approach for the Collection of Data to Train Deep Learning Models,IEEE,Conferences,"Machine learning techniques that give good predictions require a considerable amount of data, which sometimes can be a challenge to collect. In this study, citizen science is being introduced as an auxiliary technique to provide more data for the training of a deep learning network for the classification of Maltese Flora; a field which to this date lacks sufficient training data. In the first part of this study, we investigate the training of a deep learning model that makes use of a limited training dataset utilising techniques such as data augmentation, data scraping and transfer learning. This improved experimented off-the-shelf model generated a low accuracy highlighting the relevance of the initial hypothesis that citizen science is needed for the improvement of deep-learning models. In the second phase, citizen science was used as a data crowdsourcing technique through a mobile communication system. A study was conducted to determine the opinion of the public with only a small percentage showing a lack of interest in participating. Therefore, a dynamic educational application was implemented for the public exploiting Artificial Intelligence advancements to identify Maltese Flora in real-time whilst gathering images used to enhance the dataset. The deep learning model was re-trained on this dataset showing a significant increase in performance. Visualizations of the current Maltese flora distribution were also generated utilizing this data. This study demonstrated that the use of citizen science is essential for the improvement of deep learning models so that they can be employed in more widespread applications.",https://ieeexplore.ieee.org/document/9842871/,2022 IEEE 21st Mediterranean Electrotechnical Conference (MELECON),14-16 June 2022,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/IC3IOT53935.2022.9767897,"A Deep study of Data science related problems, application and machine learning algorithms utilized in Data science",IEEE,Conferences,"Data Science study utilized for gathering information as data, taking out data from other systems, accumulating information, signifying and safeguarding data collected are used by organizations for marketing purposes and in high-tech implementations. Name of data science denotes a combination of databases and software engineering as well as a number of types of qualitative, quantitative entities and non-mathematical entities are furthermore necessary. Data science and its importance, components in data science included, life cycle of data science, Application of data science, various algorithms in machine learning are used with data science and implementation of machine learning algorithm in real life cases are also described. Finally, wound up with how to decode an obstacle in data Science using machine learning algorithms.",https://ieeexplore.ieee.org/document/9767897/,"2022 International Conference on Communication, Computing and Internet of Things (IC3IoT)",10-11 March 2022,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ICBAIE52039.2021.9389899,An Open-Source Programming Language-Based Interactive Device: Popular Science of the Five Cereals for Children,IEEE,Conferences,"In this paper, Arduino is used in combination with switch, lighting and sound facilities to realize human-computer interaction. Arduino is an open-source electronics platform that integrates hardware and software. Given its versatility, expressiveness and operability, designers and artists are free to turn their ideas into reality on this platform, using programming languages to create high-quality interactive installations. In response to children's difficulty telling the difference between the five cereals, this paper seeks to educate children on crops in the form of human-computer interaction through the design and manufacture of a popular science-themed interactive device. Through the external hardware configuration (pressure induction, lamp and sound), children are guided to knowing and grasping the growth stages of common plants. In this way, children's perceptions of nature and crops can be constructed through a combination of technology and art.",https://ieeexplore.ieee.org/document/9389899/,"2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",26-28 March 2021,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ISAIAM53259.2021.00012,Application of children Artificial Intelligence science popularization books based on Augmented Reality technology,IEEE,Conferences,"Children’s books are enlightenment books for children’s education, and the educational significance of popular science books is even more important. With the development of global intelligent technology, parents pay more attention to children’s intelligent education, and books combined with science and technology become more popular. As one of the important tools in the process of children’s growth, books play an important role in children’s early education. However, most of the popular science books are still natural universe, animal world, military education and other subjects. Today, with the development of intelligent technology, it has become an inevitable thing to carry out artificial intelligence science popularization for children. Therefore, this article uses multimedia technology, uses Kudan SDK to develop AR applications in Unity, explores the application of AR technology in popular science books, and uses artificial intelligence as the theme for creation. It mainly includes the cognitive analysis of artificial intelligence, ar software system design and the design exploration of AR and books for 7-11 year olds, so that children can understand and learn the relevant knowledge of AI in the technical environment.",https://ieeexplore.ieee.org/document/9516578/,2021 International Symposium on Artificial Intelligence and its Application on Media (ISAIAM),21-23 May 2021,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/IEEECONF53024.2021.9733750,Augmented Reality Applications in the Training of Computer Science Professionals,IEEE,Conferences,"Various technological resources support different levels of the educational process. This proposal describes an augmented reality application for a data architecture course, a fundamental subject for bachelor degree students studying computer information management at public universities and computer engineering in higher education institutions for technology. We followed the methodology of educational software. The application was developed in Unity, considering five concordant themes in the curricula of both universities (linear, non-linear, recursion, sorting, and search). The objective was to analyze the incorporation of the educational resource. For this, three instruments were used: (1) to examine the students&#x0027; knowledge level about the subject before and after the resource intervention, (2) a rubric to understand their perception of the quality of mobile educational applications, and (3) the technology acceptance model, which allowed identifying attitudes towards the information technology system based on two previously established variables: perceived usefulness and perceived ease of use. The results are encouraging, verifying that technological tools contribute to the training of computer scientists.",https://ieeexplore.ieee.org/document/9733750/,2021 Machine Learning-Driven Digital Technologies for Educational Innovation Workshop,15-17 Dec. 2021,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/BigData.2016.7840859,Building a research data science platform from industrial machines,IEEE,Conferences,"Data Science research has a long history in academia which spans from large-scale data management, to data mining and data analysis using technologies from database management systems (DBMS's). While traditional HPC offers tools on leveraging existing technologies with data processing needs, the large volume of data and the speed of data generation pose significant challenges. Using the Hadoop platform and tools built on top of it drew immense interest from academia after it gained success in industry. Georgia Institute of Technology received a donation of 200 compute nodes from Yahoo. Turning these industrial machines into a research Data Science Platform (DSP) poses unique challenges, such as: nontrivial hardware design decisions, configuration tool choices, node integration into existing HPC infrastructure, partitioning resource to meet different application needs, software stack choices, etc. We have 40 nodes up and running, 24 running as a Hadoop and Spark cluster, 12 running as a HBase and OpenTSDB cluster, the others running as service nodes. We successfully tested it against Spark Machine Learning algorithms using a 88GB image dataset, Spark DataFrame and GraphFrame with a Wikipedia dataset, and Hadoop MapReduce wordcount on a 300GB dataset. The OpenTSDB cluster is for real-time time series data ingestion and storage for sensor data. We are working on bringing up more nodes. We share our first-hand experience gained in our journey, which we believe will benefit and inspire other academic institutions.",https://ieeexplore.ieee.org/document/7840859/,2016 IEEE International Conference on Big Data (Big Data),5-8 Dec. 2016,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ICoDT252288.2021.9441481,Classy AA-NECTAR: Personalized Ubiquitous E-Learning Recommender System with Ontology and Data Science Techniques,IEEE,Conferences,"Learners have different learning styles each tailored to their own personality. Incompatibility of learning and teaching style is inconvenient. This paper integrates learner behavior modeling, academic web crawling and content retrieval using state of the art technology. This research work aims to propose a personalized ubiquitous learning model to identify learner learning styles and deploy type of content that is corresponding to the learner's learning style. Felder-Solomon model is one of the models being used for the learner profiling. This gives ease not only to the learners but the pedagogical instructors as well for not making different type of content. Real time monitoring makes the self-adaptive system learn through the learner's gestures and self-adjusts autonomously. Learners' aptitude increases, saving time and inconvenience. This will give an easy access to certifying organizations to get more capable skill oriented people.",https://ieeexplore.ieee.org/document/9441481/,2021 International Conference on Digital Futures and Transformative Technologies (ICoDT2),20-21 May 2021,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/COMPSAC48688.2020.00026,DSLE: A Smart Platform for Designing Data Science Competitions,IEEE,Conferences,"During the last years an increasing number of university-level and post-graduation courses on Data Science have been offered. Practices and assessments need specific learning environments where learners could play with data samples and run machine learning and data mining algorithms. To foster learner engagement many closed-and open-source platforms support the design of data science competitions. However, they show limitations on the ability to handle private data, customize the analytics and evaluation processes, and visualize learners' activities and outcomes. This paper presents Data Science Lab Environment (DSLE, in short), a new open-source platform to design and monitor data science competitions. DSLE offers a easily configurable interface to share training and test data, design group works or individual sessions, evaluate the competition runs according to customizable metrics, manage public and private leaderboards, monitor participants' activities and their progress over time. The paper describes also a real experience of usage of DSLE in the context of a 1st-year M.Sc. course, which has involved around 160 students.",https://ieeexplore.ieee.org/document/9202557/,"2020 IEEE 44th Annual Computers, Software, and Applications Conference (COMPSAC)",13-17 July 2020,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/DSAA.2015.7344825,Data science foundry for MOOCs,IEEE,Conferences,"In this paper, we present the concept of data science foundry for data from Massive Open Online Courses. In the foundry we present a series of software modules that transform the data into different representations. Ultimately, each online learner is represented using a set of variables that capture his/her online behavior. These variables are captured longitudinally over an interval. Using this representation we then build a predictive analytics stack that is able to predict online learners behavior as the course progresses in real time. To demonstrate the efficacy of the foundry, we attempt to solve an important prediction problem for Massive Open Online Courses (MOOCs): who is likely to stopout? Across a multitude of courses, with our complex per-student behavioral variables, we achieve a predictive accuracy of 0.7 AUCROC and higher for a one-week-ahead prediction problem. For a two-to-three-weeks-ahead prediction problem, we are able to achieve 0.6 AUCROC. We validate, via transfer learning, that these predictive models can be used in real time. We also demonstrate that we can protect the models using privacy-preserving mechanisms without losing any predictive accuracy.",https://ieeexplore.ieee.org/document/7344825/,2015 IEEE International Conference on Data Science and Advanced Analytics (DSAA),19-21 Oct. 2015,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/GCCE.2017.8229475,Deductively verifying embedded software in the era of artificial intelligence = machine learning + software science,IEEE,Conferences,"Today Google collects big data, and develops new business using both cloud computing such as search engine and artificial intelligence such as machine learning. The study of artificial intelligence mainly on deep learning is prosperous and is expected to make smart life now and in the future. The mainstream of the present artificial intelligence is machine learning, and the foundation is inductive inference. On the other hand, artificial intelligence from old days is deductive inference, and the deductive inference is the foundation of software science. In this paper, from the viewpoint of “artificial intelligence = machine learning + software science”, we grasp computer technologies. We pay attention to software science, especially deductive inference of embedded systems, and explain deductive verifications for guaranteeing the reliability of embedded systems.",https://ieeexplore.ieee.org/document/8229475/,2017 IEEE 6th Global Conference on Consumer Electronics (GCCE),24-27 Oct. 2017,ieeexplore,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
